CompanyName,CompanyNumber,RegAddress.AddressLine1,RegAddress.PostTown,RegAddress.PostCode,CompanyStatus,IncorporationDate,Accounts.AccountCategory,SICCode.SicText_1,PreviousName_1.CompanyName,stratum,postcode_company_count
ALTO CONSTRUCTION LTD,16647375,1 SISKIN ROAD,FAREHAM,PO15 7RR,Active,13/08/2025,NO ACCOUNTS FILED,41100 - Development of building projects,,all,1
AMWELL PROPERTY LTD,10716252,SOLAR HOUSE,LONDON,N14 6NZ,Active,08/04/2017,TOTAL EXEMPTION FULL,68100 - Buying and selling of own real estate,AMWELL PROPERTY HOUSE LTD,trading,593
ANDREW SHEPHERD & SONS LIMITED,SC243442,RESTENNETH HOUSE,FORFAR,DD8 3DX,Active,05/02/2003,DORMANT,74990 - Non-trading company,,all,3
APPLE BARN SERVICES LIMITED,04545537,"ASHFORD ROAD, NEWINGREEN",KENT,CT21 4JF,Active,26/09/2002,UNAUDITED ABRIDGED,99999 - Dormant Company,,all,19
ARBOUR HOUSE FARM MEDICAL AND AGRICULTURAL LTD,13685332,ARBOUR HOUSE FARM,DURHAM,DH1 4TQ,Active,18/10/2021,MICRO ENTITY,01450 - Raising of sheep and  goats,,trading,1
ARG RAIL CONSULTANCY SERVICES LTD,15778924,2 TEDDY GRAY AVENUE,SANDBACH,CW11 3AR,Active,14/06/2024,MICRO ENTITY,70229 - Management consultancy activities other than financial management,,all,2
ARISTOMATICS PROPERTIES LIMITED,00839768,SUNSET COTTAGE ESTCOURT ROAD,PONTEFRACT,WF8 3AP,Active,04/03/1965,UNAUDITED ABRIDGED,68209 - Other letting and operating of own or leased real estate,ARISTOMATICS (PONTEFRACT) LIMITED,all,2
ARTA SCRAP LTD,14259239,UNITS C1 C2 CONNAUGHT BUSINESS CENTRE,LONDON,NW9 6JL,Active,27/07/2022,MICRO ENTITY,46770 - Wholesale of waste and scrap,,all,6
ASIAN ARTS GLOBAL LTD,SC656290,24 BARNTON COURT,EDINBURGH,EH4 6EH,Active,03/03/2020,MICRO ENTITY,82301 - Activities of exhibition and fair organisers,ASIAN ARTS UNIVERSAL LTD,all,2
ASIF EYECARE LIMITED,10979337,73 BRADFORD STREET,WALSALL,WS1 3QD,Active,25/09/2017,MICRO ENTITY,47782 - Retail sale by opticians,,trading,111
ASK EPM LTD,07901056,20 HAZEL ROAD,ALTRINCHAM,WA14 1JL,Active,09/01/2012,MICRO ENTITY,62020 - Information technology consultancy activities,PETE SINGLETON CONSULTING LTD.,all,4
ATALP CONSULTING LTD,14292776,"207 CHAPEL STREET, THE FILAMENTS",SALFORD,M3 5PH,Active,12/08/2022,MICRO ENTITY,62020 - Information technology consultancy activities,,trading,2
AURAMAYA LTD,12904875,40 KENTON LANE,HARROW,HA3 8TX,Active,25/09/2020,MICRO ENTITY,46450 - Wholesale of perfume and cosmetics,,all,2
AVIZA TRANSPORT LTD,11118002,KIWI HOUSE 4 KIWI HOUSE,LONDON,NW6 5GL,Active,19/12/2017,MICRO ENTITY,53201 - Licensed carriers,AVIZA MOTOR LTD,trading,1
BAINES ROOFING LIMITED,09320539,102 QUEENS ROAD,EPPING,CM16 6JG,Active,20/11/2014,UNAUDITED ABRIDGED,43910 - Roofing activities,,all,1
BARKBY LTD,13135539,94 HALSTEAD STREET,LEICESTER,LE5 3RD,Active,14/01/2021,MICRO ENTITY,14132 - Manufacture of other women's outerwear,,trading,7
BEECHEY MANAGEMENT COMPANY LIMITED,05237539,1C BEECHEY AVENUE,OXFORD,OX3 0JU,Active,21/09/2004,MICRO ENTITY,98000 - Residents property management,,all,3
BESTBUY SHOPFITTERS LIMITED,08878674,55 DUDLEY DRIVE,MORDEN,SM4 4RJ,Active,06/02/2014,TOTAL EXEMPTION FULL,"43220 - Plumbing, heat and air-conditioning installation",,trading,1
BJF PROPERTIES LLP,OC375744,THE OLD FORGE,HOOK,RG29 1BT,Active,01/06/2012,MICRO ENTITY,None Supplied,,all,3
BLIKKBOKS  LTD,04969411,183 HENDRE ROAD,"PENCOED, BRIDGEND",CF35 6PP,Active,19/11/2003,DORMANT,"46439 - Wholesale of radio, television goods & electrical household appliances (other than records, tapes, CD's & video tapes and the equipment used for playing them)",,all,228
BLUEBOND TAX SOLUTIONS LIMITED,13791445,6 WILLOW CLOSE,ROYSTON,SG8 8BA,Active,09/12/2021,MICRO ENTITY,69203 - Tax consultancy,,trading,9
BREWERY SQUARE MANAGEMENT LIMITED,06710876,21 WEYMOUTH AVENUE,DORCHESTER,DT1 1QR,Active,30/09/2008,TOTAL EXEMPTION FULL,98000 - Residents property management,,trading,2
BRIGHTSUITE LIMITED,15151787,ELSCOT HOUSE,LONDON,N3 2JU,Active,20/09/2023,TOTAL EXEMPTION FULL,64209 - Activities of other holding companies n.e.c.,,trading,861
BROTHERS FURNITURE & INTERIORS LIMITED,NI714110,57 DRUMGRANNON ROAD,DUNGANNON,BT71 7DY,Active,15/04/2024,TOTAL EXEMPTION FULL,"47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",,trading,6
BUSINESS MERIDIAN LTD,10202440,"UNIT 7, ANTIQUE CENTRE",LONDON,W8 4DB,Active,26/05/2016,DORMANT,70229 - Management consultancy activities other than financial management,,all,114
CACTUSOFT LIMITED,03505291,59 WINCHESTER ROAD,ALTON,GU34 5HR,Active,05/02/1998,MICRO ENTITY,62012 - Business and domestic software development,,all,4
CATNAP CREATIONS LTD,09282081,4 UP CORNER CLOSE,CHALFONT ST. GILES,HP8 4PU,Active,27/10/2014,TOTAL EXEMPTION FULL,"78101 - Motion picture, television and other theatrical casting activities",,all,1
CEE JAY PROPERTIES (CJP) LTD,15366532,C/O BEVAN BUCKLAND LTD GROUND FLOOR,SWANSEA,SA7 9LA,Active,21/12/2023,TOTAL EXEMPTION FULL,68209 - Other letting and operating of own or leased real estate,,all,501
CENTRE FOR SUSTAINABLE DEVELOPMENT AND CLIMATE CHANGE LTD,13022956,5 ANNESLEY PLACE,BROMLEY,BR2 9TQ,Active,16/11/2020,DORMANT,47710 - Retail sale of clothing in specialised stores,SUSTAIN X LABS LTD,all,8
CERTIKIN INTERNATIONAL LIMITED,03047290,UNIT 4 TUNGSTEN PARK,WITNEY,OX29 0AX,Active,19/04/1995,FULL,"46740 - Wholesale of hardware, plumbing and heating equipment and supplies",,trading,9
CHALK FARM KITCHEN LTD,16496733,FARMHOUSE GRILL MARKET PLACE FOOD HALL VAUXHALL,LONDON,SW8 1SP,Active,04/06/2025,NO ACCOUNTS FILED,56103 - Take-away food shops and mobile food stands,,all,22
CHAMBERLAINS AQUA AND ENERGY SYSTEMS LIMITED,11098150,MICROLINK HOUSE BRICKFIELD LANE,EASTLEIGH,SO53 4DP,Active,06/12/2017,MICRO ENTITY,"36000 - Water collection, treatment and supply",CHAMBERLAINS AQUA SYSTEMS LIMITED,trading,19
CHELYR SIMONE PHOTOGRAPHY LTD,10482650,61 SILVERMERE PARK WAY,BIRMINGHAM,B26 3GA,Active,17/11/2016,MICRO ENTITY,74201 - Portrait photographic activities,THREE STRANDS CREATIVE LTD,trading,4
CHOICE LANGUAGE SERVICES LIMITED,03912373,15 THE SPIRES,CHELMSFORD,CM2 8JN,Active,24/01/2000,MICRO ENTITY,99999 - Dormant Company,,all,4
CLEMENTINE CHELTENHAM LIMITED,11428290,4 QUEENS CIRCUS,CHELTENHAM,GL50 1RX,Active,22/06/2018,TOTAL EXEMPTION FULL,56102 - Unlicensed restaurants and cafes,,trading,5
CLIENTOLOGY SCALING BUSINESS LTD,17174797,"24-26 ARCADIA AVENUE, FIN009",LONDON,N3 2JU,Active,22/04/2026,NO ACCOUNTS FILED,70229 - Management consultancy activities other than financial management,,all,861
COLCHESTER GLOBAL INVESTORS LIMITED,03855960,5TH FLOOR,LONDON,EC2V 6DL,Active,08/10/1999,GROUP,64999 - Financial intermediation not elsewhere classified,,trading,217
COMMANDPOST LTD,16587979,71-75 SHELTON STREET,LONDON,WC2H 9JQ,Active,17/07/2025,MICRO ENTITY,62012 - Business and domestic software development,,trading,59168
CONMED UK LTD,03535936,73/74 SHRIVENHAM HUNDRED BUS,"WATCHFIELD, SWINDON",SN6 8TY,Active,27/03/1998,FULL,82990 - Other business support service activities n.e.c.,LINVATEC U.K. LIMITED,trading,35
CONSIGN LONDON LTD,13948553,124 CITY ROAD,LONDON,EC1V 2NX,Active,02/03/2022,MICRO ENTITY,47910 - Retail sale via mail order houses or via Internet,,trading,48230
CORE CAPRICORN LIMITED,11739169,"C/O COMMUNITY OWNED ASSET MANAGEMENT LIMITED SUSTAINABLE VENTURES, COUNTY HALL",LONDON,SE1 7PB,Active,21/12/2018,TOTAL EXEMPTION FULL,64209 - Activities of other holding companies n.e.c.,,all,87
CRANFORD STONE UK LTD,NI678668,13B CARRAKEEL DRIVE,DERRY,BT47 6UQ,Active,21/04/2021,MICRO ENTITY,08120 - Operation of gravel and sand pits; mining of clays and kaolin,,trading,30
CRESTOR PROPERTIES & INVESTMENTS LIMITED,07412995,130 HAYES LANE,KENLEY,CR8 5HQ,Active,20/10/2010,MICRO ENTITY,68209 - Other letting and operating of own or leased real estate,,all,2
CROWN ONLINEUK LTD,16799447,UNIT A,MAIDENHEAD,SL6 8BT,Active,21/10/2025,NO ACCOUNTS FILED,47910 - Retail sale via mail order houses or via Internet,,all,9
CROWNZ ALLIED SERVICES LIMITED,15945502,13 ST. ANDREWS CLOSE,LONDON,SE28 8NY,Active,09/09/2024,DORMANT,"84120 - Regulation of health care, education, cultural and other social services, not incl. social security",,all,13
CWL LTD.,02791793,SUMMIT HOUSE,LONDON,NW3 6BP,Active,19/02/1993,TOTAL EXEMPTION FULL,68100 - Buying and selling of own real estate,,trading,480
DANIEL JONES FIRE AND SECURITY SOLUTIONS LTD,13688776,9 ELGAR WALK,WATERLOOVILLE,PO7 5UT,Active,19/10/2021,MICRO ENTITY,43210 - Electrical installation,,all,2
DRM PLUMBING AND ELECTRICAL LTD,11908425,22 HOME FARM COURT,SWADLINCOTE,DE11 9JA,Active,27/03/2019,MICRO ENTITY,35220 - Distribution of gaseous fuels through mains,,trading,1
DUA FRESH MEAT AND GROCERY LTD,11455352,21 ROWALLEN PARADE,DAGENHAM,RM8 1XU,Active,09/07/2018,MICRO ENTITY,47210 - Retail sale of fruit and vegetables in specialised stores,,trading,63
DUTTON WARD LIMITED,09142570,FIRE HOUSE MAYFLOWER CLOSE,EASTLEIGH,SO53 4AR,Active,22/07/2014,SMALL,64209 - Activities of other holding companies n.e.c.,,trading,252
DUVSPHARMA LTD,13586710,167-169 GREAT PORTLAND STREET,LONDON,W1W 5PF,Active,26/08/2021,MICRO ENTITY,47730 - Dispensing chemist in specialised stores,,all,19595
E2E4 TECHNOLOGIES LTD,07628623,8 BURLINGTON PLACE,WOODFORD GREEN,IG8 0PS,Active,10/05/2011,TOTAL EXEMPTION FULL,62020 - Information technology consultancy activities,,all,5
EASY WATER LIMITED,05956967,2 CANNOCK STREET,LEICESTER,LE4 9HR,Active,05/10/2006,TOTAL EXEMPTION FULL,32990 - Other manufacturing n.e.c.,,all,33
ECONOMIZE ACCOUNTING & TAX SOLUTIONS LTD,07310823,70 ORCHARD STREET,KENT,ME8 9AE,Active,12/07/2010,MICRO ENTITY,69201 - Accounting and auditing activities,,trading,3
ED CARE SERVICES LTD,15428631,22 URBAN ROAD,BISHOP'S STORTFORD,CM23 5JD,Active,20/01/2024,MICRO ENTITY,87100 - Residential nursing care facilities,,trading,4
ELLARION CYBERNETICS LTD,12165590,86-90 PAUL STREET,LONDON,EC2A 4NE,Active,20/08/2019,MICRO ENTITY,62012 - Business and domestic software development,,all,19862
ELVESTONE MANAGEMENT COMPANY LIMITED,04532164,10 SOUTHERNHAY WEST,EXETER,EX1 1JG,Active,11/09/2002,MICRO ENTITY,98000 - Residents property management,,trading,72
EMAF LTD,12916820,86-90 PAUL STREET,LONDON,EC2A 4NE,Active,30/09/2020,TOTAL EXEMPTION FULL,69102 - Solicitors,,all,19862
EMILIE COSTE LIMITED,12139486,4 QUEEN'S ELM SQUARE,LONDON,SW3 6ED,Active,05/08/2019,MICRO ENTITY,90030 - Artistic creation,,trading,5
ENVIRO CLEAN GROUP LTD,11498172,UNIT 3E/F SUFFOLK HOUSE BUSINESS PARK ASHWELLS ROAD,BRENTWOOD,CM15 9SG,Active,03/08/2018,TOTAL EXEMPTION FULL,96090 - Other service activities n.e.c.,ENVIRO CLEAN NORTH EAST LTD,trading,127
EVE WRITING SERVICES LIMITED,08349121,44 BRAMBLE WAY,STOCKPORT,SK7 5EE,Active,07/01/2013,TOTAL EXEMPTION FULL,73120 - Media representation services,,all,5
EVERWELL BRANDS LTD,17363413,REDSTONE HOUSE,ASHFORD,TN25 4NP,Active,27/07/2026,NO ACCOUNTS FILED,47910 - Retail sale via mail order houses or via Internet,,all,3
FAIR (UK) LIMITED,SC306108,C/O BURGOYNE CAREY PAVILION 2,GLASGOW,G51 2JA,Active,31/07/2006,MICRO ENTITY,71122 - Engineering related scientific and technical consulting activities,,trading,191
FARLA LIMITED,08260771,OLD LIBRARY CHAMBERS,SALISBURY,SP1 1BG,Active,19/10/2012,TOTAL EXEMPTION FULL,64991 - Security dealing on own account,,trading,37
FILIP SCAFFOLDING LTD,09398402,12 TEMPUS COURT,HIGH WYCOMBE,HP13 5HA,Active,20/01/2015,MICRO ENTITY,43290 - Other construction installation,,trading,2
FOX TRAINING AND EVENTS LIMITED,11605647,GREBE LODGE,CHARD,TA20 1RR,Active,04/10/2018,MICRO ENTITY,82301 - Activities of exhibition and fair organisers,,trading,2
FRAMEWOOD MANOR MANAGEMENT COMPANY LIMITED,02209261,FRAMEWOOD MANOR FRAMEWOOD ROAD,SLOUGH,SL2 4QR,Active,30/12/1987,MICRO ENTITY,68209 - Other letting and operating of own or leased real estate,,trading,2
FREEDOM 365 MORTGAGE SOLUTIONS LTD,10247549,11-12 HANOVER SQUARE,LONDON,W1S 1JJ,Active,23/06/2016,SMALL,64999 - Financial intermediation not elsewhere classified,365 MORTGAGE SOLUTIONS LIMITED,all,44
FRENCH CATERING LIMITED,12689967,812A WILMSLOW ROAD,DIDSBURY,M20 6UH,Active,22/06/2020,UNAUDITED ABRIDGED,"47240 - Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,trading,3
FRODSHAM FLEET SERVICES LIMITED,12480851,5 THE PAVILIONS KNUTSFORD BUSINESS PARK,KNUTSFORD,WA16 8ZR,Active,25/02/2020,TOTAL EXEMPTION FULL,52290 - Other transportation support activities,DELAMERE DESIGN LTD,all,31
FRS (CUMBRIA) LIMITED,12518783,FIFTEEN ROSEHILL MONTGOMERY WAY,CARLISLE,CA1 2RW,Active,16/03/2020,MICRO ENTITY,96090 - Other service activities n.e.c.,,all,218
FUEL ENTERPRISES LIMITED,10333528,SOMERSET HOUSE,LONDON,WC2R 1LA,Active,17/08/2016,TOTAL EXEMPTION FULL,82990 - Other business support service activities n.e.c.,,trading,155
FULHAM FOOTBALL LEISURE LIMITED,03374347,FULHAM FOOTBALL CLUB,NEW MALDEN,KT3 6PT,Active,21/05/1997,GROUP,93120 - Activities of sport clubs,,trading,9
FURNITURE CLINIC LIMITED,05554773,UNIT 46 WERDOHL WAY,CONSETT,DH8 6SZ,Active,06/09/2005,FULL,15110 - Tanning and dressing of leather; dressing and dyeing of fur,ZENITH PROMOTIONS LTD,trading,72
G R LAND AND PROPERTY LTD,12893178,"4 WOODSIDE, DUNCLENT",KIDDERMINSTER,DY10 4AU,Active,21/09/2020,MICRO ENTITY,41100 - Development of building projects,,trading,1
GEPIF EUROWIND HOLDINGS LIMITED,07803962,5 CHURCHILL PLACE,LONDON,E14 5HU,Active,10/10/2011,TOTAL EXEMPTION FULL,64209 - Activities of other holding companies n.e.c.,FREIF EUROWIND HOLDINGS LIMITED,trading,1854
GLINWELL PUBLIC LIMITED COMPANY,01303616,C/O FORVIS MAZARS LLP THE PINNACLE,MILTON KEYNES,MK9 1FF,Active,18/03/1977,GROUP,"01130 - Growing of vegetables and melons, roots and tubers",,all,135
GOODWOOD PLASTERING LIMITED,09085103,17 PENNINE PARADE,LONDON,NW2 1NT,Active,13/06/2014,MICRO ENTITY,41202 - Construction of domestic buildings,,trading,425
GOTROZMO LTD,13620240,20 ODETTE GARDENS,TADLEY,RG26 3PS,Active,14/09/2021,MICRO ENTITY,49410 - Freight transport by road,,all,2
GREATLEAF LIMITED,15029655,34 MARSH LANE,LONDON,NW7 4QP,Active,26/07/2023,MICRO ENTITY,68100 - Buying and selling of own real estate,,trading,4
HEEVA LIMITED,09013002,656 HOLLOWAY ROAD,LONDON,N19 3NU,Active,28/04/2014,TOTAL EXEMPTION FULL,96020 - Hairdressing and other beauty treatment,,trading,15
HELPERTHORPE BEST LTD,09606474,"UNIT 1C, 55",LEICESTER,LE5 0BT,Active,23/05/2015,MICRO ENTITY,52103 - Operation of warehousing and storage facilities for land transport activities,,trading,294
HIGH LEVEL LIMITED,11147020,"SOLENT HOUSE, LANSBURY BUSINESS ESTATE 102 LOWER GUILDFORD ROAD",WOKING,GU21 2EP,Active,12/01/2018,DORMANT,74202 - Other specialist photography,,all,171
HOLME RED LIMITED,SC646205,"60 5TH FLOOR , ST. ENOCH SQUARE",GLASGOW,G1 4AG,Active,05/11/2019,TOTAL EXEMPTION FULL,96090 - Other service activities n.e.c.,,trading,155
IMBIBA CAPITAL LTD,10922967,THE LOFT,LONDON,WC2E 9JY,Active,18/08/2017,TOTAL EXEMPTION FULL,82990 - Other business support service activities n.e.c.,,all,14
IN-TOUCH BUSINESS SOLUTIONS LTD,08788659,4 ORCHARD DRIVE,GRAYS,RM17 5AF,Active,25/11/2013,TOTAL EXEMPTION FULL,69201 - Accounting and auditing activities,,trading,7
INSIGHT TO DESIGN LTD,13343331,FIRST FLOOR 1 DES ROCHES SQUARE,WITNEY,OX28 4BE,Active,19/04/2021,TOTAL EXEMPTION FULL,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),,all,503
INSPIRE HEALTH CARE SOLUTIONS LTD,12841508,24 WILLROSE CRESCENT,LONDON,SE2 0LQ,Active,27/08/2020,DORMANT,87900 - Other residential care activities n.e.c.,,all,2
IQUR DIAGNOSTICS LIMITED,16168743,9 LAKEWOOD ROAD,EASTLEIGH,SO53 1ER,Active,07/01/2025,NO ACCOUNTS FILED,71200 - Technical testing and analysis,,all,2
J. & J. WHITTAKER (CHEMIST) LIMITED,02382955,32 WANSBECK ROAD SOUTH,NEWCASTLE UPON TYNE,NE3 3HQ,Active,12/05/1989,TOTAL EXEMPTION FULL,47190 - Other retail sale in non-specialised stores,,all,9
J. LERY LIMITED,07447275,12 MARKET STREET,HEBDEN BRIDGE,HX7 6AD,Active,22/11/2010,TOTAL EXEMPTION FULL,86230 - Dental practice activities,,trading,101
JD DIGITAL MEDIA LTD,11164862,20-22 WENLOCK ROAD,LONDON,N1 7GU,Active,23/01/2018,MICRO ENTITY,47910 - Retail sale via mail order houses or via Internet,,trading,24937
JHM DEVELOPMENTS LTD,12784595,167-169 GREAT PORTLAND STREET,LONDON,W1W 5PF,Active,31/07/2020,TOTAL EXEMPTION FULL,41100 - Development of building projects,,trading,19595
JJP HOLDINGS LTD,16240899,71-75 SHELTON STREET,LONDON,WC2H 9JQ,Active,10/02/2025,NO ACCOUNTS FILED,68100 - Buying and selling of own real estate,,all,59168
JONART GLOBAL LTD,15609174,23 ATHLETES WAY,MANCHESTER,M11 3NE,Active,02/04/2024,MICRO ENTITY,47910 - Retail sale via mail order houses or via Internet,BON STYLISTE LTD,trading,5
JUELO CONSULT LIMITED,11640735,12 KNIGHTON GREEN,BUCKHURST HILL,IG9 5HD,Active,24/10/2018,DORMANT,69201 - Accounting and auditing activities,,all,4
JURALI LIMITED,13946160,C/O NEON NUMBERS,PORTSMOUTH,PO3 5EE,Active,01/03/2022,TOTAL EXEMPTION FULL,68100 - Buying and selling of own real estate,,all,81
KARAN FOODS LIMITED,15644358,950 GREAT WEST ROAD,BRENTFORD,TW8 9ES,Active,14/04/2024,MICRO ENTITY,"46390 - Non-specialised wholesale of food, beverages and tobacco",IKR CONTRACTORS LIMITED,trading,455
KASIAS KARPETS LIMITED,08187951,5 BATSWORTH ROAD,MITCHAM,CR4 3BX,Active,22/08/2012,UNAUDITED ABRIDGED,32990 - Other manufacturing n.e.c.,,trading,7
KCT SUPPLIES LIMITED,07970742,2 IVY LANE,AYLESBURY,HP22 5AP,Active,29/02/2012,MICRO ENTITY,46760 - Wholesale of other intermediate products,,trading,1
KDV GROWTH LTD,11800762,188 MITCHAM ROAD,LONDON,SW17 9NJ,Active,01/02/2019,MICRO ENTITY,70229 - Management consultancy activities other than financial management,,all,77
KELVIN VENTURES LIMITED,16816180,20 WENLOCK ROAD,LONDON,N1 7GU,Active,28/10/2025,NO ACCOUNTS FILED,70229 - Management consultancy activities other than financial management,,all,24937
KETHER CONSULTING UK LTD,09167444,ROOM 224 & 224A BLOCK P ISLAND BUSINESS CENTR,LONDON,SE18 6PF,Active,08/08/2014,MICRO ENTITY,"63110 - Data processing, hosting and related activities",,trading,150
KOCHI 2 MUMBAI LTD,16427529,41 NORTHCOTE ROAD,BOURNEMOUTH,BH1 4SG,Active,02/05/2025,NO ACCOUNTS FILED,56101 - Licensed restaurants,,all,14
KUUNGANA ADVISORY LIMITED,09872349,22 WOODBERRY CLOSE,GODALMING,GU8 4SF,Active,13/11/2015,TOTAL EXEMPTION FULL,70229 - Management consultancy activities other than financial management,STEPHEN NASH CONSULTING LIMITED,trading,1
LADYBIRD CAR SALES LTD,10384646,19 WARREN PARK WAY,LEICESTER,LE19 4SA,Active,20/09/2016,TOTAL EXEMPTION FULL,45112 - Sale of used cars and light motor vehicles,PBM COMMUNICATION SERVICES LTD,all,216
LAKSHMI ASSOCIATES LIMITED,SC806295,2 CAMMO TOWER MEWS,EDINBURGH,EH4 8GD,Active,09/04/2024,MICRO ENTITY,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,trading,1
LANKASTER LTD,09320210,88 BRINKLOW CRESCENT,LONDON,SE18 3BP,Active,20/11/2014,MICRO ENTITY,47910 - Retail sale via mail order houses or via Internet,,trading,1
LEARNING ENABLERS LIMITED,07674410,CHESTNUT HOUSE,STONEHOUSE,GL10 3DS,Active,20/06/2011,MICRO ENTITY,85590 - Other education n.e.c.,,all,1
LILY ROSE FABRICATIONS LIMITED,14661835,THE GRANARY,MAIDSTONE,ME16 9NT,Active,14/02/2023,DORMANT,96090 - Other service activities n.e.c.,,all,338
LOTUS HOMES INVESTMENTS LTD,15056125,1 BEAUCHAMP COURT,BARNET,EN5 5TZ,Active,08/08/2023,MICRO ENTITY,68100 - Buying and selling of own real estate,,trading,1138
M & L CAMBRIDGE LIMITED,07938253,HFL HOUSE,MELBOURN,SG8 6DN,Active,06/02/2012,TOTAL EXEMPTION FULL,70100 - Activities of head offices,,all,61
M & M PROPERTY (NOTTM) LTD,15565603,WHITE HOUSE,NOTTINGHAM,NG1 5GF,Active,15/03/2024,MICRO ENTITY,68100 - Buying and selling of own real estate,,trading,429
MAGNIFY & GROW BUSINESS CONSULTING LTD,10102157,CONISTON HOUSE 2B CHURCH LANE,HUNTINGDON,PE28 9JW,Active,04/04/2016,MICRO ENTITY,70229 - Management consultancy activities other than financial management,,trading,2
MARLORE DEMOLITION LIMITED,03998466,CAPITAL HOUSE,DROYLSDEN,M43 6PW,Active,22/05/2000,TOTAL EXEMPTION FULL,41100 - Development of building projects,,all,278
MASS APPEAL CLOTHING LTD,17356638,86 MANOR HOUSE COURT,CHESTERFIELD,S41 7GX,Active,23/07/2026,NO ACCOUNTS FILED,14190 - Manufacture of other wearing apparel and accessories n.e.c.,,all,1
MAX3DPRINTS LIMITED,16947432,1-5 BELLEVUE ROAD,CLEVEDON,BS21 7NP,Active,07/01/2026,NO ACCOUNTS FILED,46190 - Agents involved in the sale of a variety of goods,,all,127
MEGAPLANT LIMITED,01051256,BRIDGE HOUSE,KINGSTON UPON HULL,HU2 8AG,Active,24/04/1972,TOTAL EXEMPTION FULL,77320 - Renting and leasing of construction and civil engineering machinery and equipment,,trading,74
MEL'S MUNCH LTD,SC774929,104 FINTRY ROAD,DUNDEE,DD4 9EZ,Active,06/07/2023,TOTAL EXEMPTION FULL,56103 - Take-away food shops and mobile food stands,,trading,5
MELLOR & MOTTRAM LIMITED,10601081,30A SANDON ROAD,STOKE-ON-TRENT,ST3 7DL,Active,06/02/2017,DORMANT,"43220 - Plumbing, heat and air-conditioning installation",,all,8
MICHAEL PEARCE PROJECT SERVICES LIMITED,09259956,43 CURRELLS LANE,BRISTOL,BS40 9XF,Active,13/10/2014,MICRO ENTITY,41100 - Development of building projects,,trading,23
MILNES BROS LIMITED,14088734,KINGS PARADE,CROYDON,CR0 1AA,Active,05/05/2022,TOTAL EXEMPTION FULL,32500 - Manufacture of medical and dental instruments and supplies,,trading,166
MINDFUL BUSINESS CONSULTING LTD,10798573,35 PINE RIDGE,CARSHALTON,SM5 4QQ,Active,01/06/2017,MICRO ENTITY,62020 - Information technology consultancy activities,,all,7
MMJ ACCOUNTANTS LIMITED,15076408,124 CITY ROAD,LONDON,EC1V 2NX,Active,16/08/2023,DORMANT,69201 - Accounting and auditing activities,,all,48230
MODERN BUTLER LTD,15921434,12 HARICOT VALE ROAD,BICESTER,OX27 8EP,Active,28/08/2024,MICRO ENTITY,78200 - Temporary employment agency activities,,trading,5
MONEYNEENA & DISTRICT DEVELOPMENT INITIATIVE LTD,NI035510,53 MONEYNEENA ROAD,CO. DERRY,BT45 7EN,Active,27/01/1999,TOTAL EXEMPTION FULL,94990 - Activities of other membership organizations n.e.c.,,all,1
