company_number,company_name,stratum,candidates_tried,domain,matched_by,outcome
NI714110,BROTHERS FURNITURE & INTERIORS LIMITED,trading,6,brothersfurnitureandinteriors.co.uk,company_name,found
10202440,BUSINESS MERIDIAN LTD,all,6,businessmeridian.com,company_name,found
03505291,CACTUSOFT LIMITED,all,3,cactusoft.co.uk,company_name,found
09282081,CATNAP CREATIONS LTD,all,6,,,no_match
15366532,CEE JAY PROPERTIES (CJP) LTD,all,6,,,no_match
13022956,CENTRE FOR SUSTAINABLE DEVELOPMENT AND CLIMATE CHANGE LTD,all,6,,,no_match
03047290,CERTIKIN INTERNATIONAL LIMITED,trading,6,certikininternational.co.uk,company_number,found
16496733,CHALK FARM KITCHEN LTD,all,6,,,no_match
11098150,CHAMBERLAINS AQUA AND ENERGY SYSTEMS LIMITED,trading,6,,,no_dns
10482650,CHELYR SIMONE PHOTOGRAPHY LTD,trading,6,,,no_http
03912373,CHOICE LANGUAGE SERVICES LIMITED,all,6,,,no_match
11428290,CLEMENTINE CHELTENHAM LIMITED,trading,6,,,no_dns
17174797,CLIENTOLOGY SCALING BUSINESS LTD,all,6,,,no_dns
03855960,COLCHESTER GLOBAL INVESTORS LIMITED,trading,6,colchesterglobal.com,company_number,found
16587979,COMMANDPOST LTD,trading,3,commandpost.co.uk,company_name,found
03535936,CONMED UK LTD,trading,6,,,no_dns
13948553,CONSIGN LONDON LTD,trading,6,,,no_http
11739169,CORE CAPRICORN LIMITED,all,6,,,no_dns
NI678668,CRANFORD STONE UK LTD,trading,6,,,no_match
07412995,CRESTOR PROPERTIES & INVESTMENTS LIMITED,all,6,,,no_dns
16799447,CROWN ONLINEUK LTD,all,6,,,no_dns
15945502,CROWNZ ALLIED SERVICES LIMITED,all,6,,,no_dns
02791793,CWL LTD.,trading,3,,,no_match
13688776,DANIEL JONES FIRE AND SECURITY SOLUTIONS LTD,all,6,,,no_http
11908425,DRM PLUMBING AND ELECTRICAL LTD,trading,6,,,no_match
11455352,DUA FRESH MEAT AND GROCERY LTD,trading,6,,,no_http
09142570,DUTTON WARD LIMITED,trading,6,,,no_dns
13586710,DUVSPHARMA LTD,all,3,,,no_dns
07628623,E2E4 TECHNOLOGIES LTD,all,6,,,no_match
05956967,EASY WATER LIMITED,all,6,easywater.co.uk,company_name,found
07310823,ECONOMIZE ACCOUNTING & TAX SOLUTIONS LTD,trading,6,,,no_dns
15428631,ED CARE SERVICES LTD,trading,6,,,no_match
12165590,ELLARION CYBERNETICS LTD,all,6,,,no_dns
04532164,ELVESTONE MANAGEMENT COMPANY LIMITED,trading,6,,,no_dns
12916820,EMAF LTD,all,3,,,no_match
12139486,EMILIE COSTE LIMITED,trading,6,emiliecoste.com,company_name,found
11498172,ENVIRO CLEAN GROUP LTD,trading,6,enviro-clean.co.uk,company_number,found
08349121,EVE WRITING SERVICES LIMITED,all,6,,,no_dns
17363413,EVERWELL BRANDS LTD,all,6,everwellbrands.com,company_name,found
SC306108,FAIR (UK) LIMITED,trading,6,,,no_match
08260771,FARLA LIMITED,trading,3,,,no_match
09398402,FILIP SCAFFOLDING LTD,trading,6,,,no_dns
11605647,FOX TRAINING AND EVENTS LIMITED,trading,6,,,no_match
02209261,FRAMEWOOD MANOR MANAGEMENT COMPANY LIMITED,trading,6,,,no_match
10247549,FREEDOM 365 MORTGAGE SOLUTIONS LTD,all,6,,,no_http
12689967,FRENCH CATERING LIMITED,trading,6,frenchcatering.co.uk,company_name,found
12480851,FRODSHAM FLEET SERVICES LIMITED,all,6,,,no_dns
12518783,FRS (CUMBRIA) LIMITED,all,6,,,no_dns
10333528,FUEL ENTERPRISES LIMITED,trading,6,fuel-enterprises.com,company_name,found
03374347,FULHAM FOOTBALL LEISURE LIMITED,trading,6,,,no_match
05554773,FURNITURE CLINIC LIMITED,trading,6,furnitureclinic.co.uk,company_name,found
12893178,G R LAND AND PROPERTY LTD,trading,6,,,no_dns
07803962,GEPIF EUROWIND HOLDINGS LIMITED,trading,6,,,no_dns
01303616,GLINWELL PUBLIC LIMITED COMPANY,all,6,,,no_dns
09085103,GOODWOOD PLASTERING LIMITED,trading,6,,,no_dns
13620240,GOTROZMO LTD,all,3,,,no_dns
15029655,GREATLEAF LIMITED,trading,3,,,no_http
09013002,HEEVA LIMITED,trading,3,,,no_match
09606474,HELPERTHORPE BEST LTD,trading,6,,,no_dns
11147020,HIGH LEVEL LIMITED,all,6,highlevel.co.uk,company_name,found
SC646205,HOLME RED LIMITED,trading,6,,,no_dns
10922967,IMBIBA CAPITAL LTD,all,6,,,no_dns
08788659,IN-TOUCH BUSINESS SOLUTIONS LTD,trading,6,,,no_match
13343331,INSIGHT TO DESIGN LTD,all,6,,,no_match
12841508,INSPIRE HEALTH CARE SOLUTIONS LTD,all,6,,,no_match
16168743,IQUR DIAGNOSTICS LIMITED,all,6,,,no_dns
02382955,J. & J. WHITTAKER (CHEMIST) LIMITED,all,6,,,no_match
07447275,J. LERY LIMITED,trading,6,,,no_dns
11164862,JD DIGITAL MEDIA LTD,trading,6,,,no_match
12784595,JHM DEVELOPMENTS LTD,trading,6,,,no_dns
16240899,JJP HOLDINGS LTD,all,3,,,no_match
15609174,JONART GLOBAL LTD,trading,6,jonartglobal.com,company_name,found
11640735,JUELO CONSULT LIMITED,all,6,,,no_dns
13946160,JURALI LIMITED,all,3,,,no_match
15644358,KARAN FOODS LIMITED,trading,6,,,no_match
08187951,KASIAS KARPETS LIMITED,trading,6,kasiaskarpets.com,company_name,found
07970742,KCT SUPPLIES LIMITED,trading,6,,,no_http
11800762,KDV GROWTH LTD,all,6,kdv-growth.com,company_name,found
16816180,KELVIN VENTURES LIMITED,all,6,,,no_match
09167444,KETHER CONSULTING UK LTD,trading,6,ketherconsulting.com,company_name,found
16427529,KOCHI 2 MUMBAI LTD,all,6,,,no_match
09872349,KUUNGANA ADVISORY LIMITED,trading,6,kuungana-advisory.co.uk,company_name,found
10384646,LADYBIRD CAR SALES LTD,all,6,,,no_dns
SC806295,LAKSHMI ASSOCIATES LIMITED,trading,6,lakshmiassociates.com,company_name,found
09320210,LANKASTER LTD,trading,3,,,no_http
07674410,LEARNING ENABLERS LIMITED,all,6,,,no_http
14661835,LILY ROSE FABRICATIONS LIMITED,all,6,,,no_match
15056125,LOTUS HOMES INVESTMENTS LTD,trading,6,,,no_match
07938253,M & L CAMBRIDGE LIMITED,all,6,,,no_match
15565603,M & M PROPERTY (NOTTM) LTD,trading,6,,,no_match
10102157,MAGNIFY & GROW BUSINESS CONSULTING LTD,trading,6,,,no_dns
03998466,MARLORE DEMOLITION LIMITED,all,6,,,no_dns
17356638,MASS APPEAL CLOTHING LTD,all,6,,,no_match
16947432,MAX3DPRINTS LIMITED,all,3,,,no_http
01051256,MEGAPLANT LIMITED,trading,3,,,no_match
SC774929,MEL'S MUNCH LTD,trading,6,,,no_match
10601081,MELLOR & MOTTRAM LIMITED,all,6,mellorandmottram.co.uk,company_name,found
09259956,MICHAEL PEARCE PROJECT SERVICES LIMITED,trading,6,,,no_match
14088734,MILNES BROS LIMITED,trading,6,milnesbros.com,company_name,found
10798573,MINDFUL BUSINESS CONSULTING LTD,all,6,,,no_match
15076408,MMJ ACCOUNTANTS LIMITED,all,6,mmjaccountants.com,company_name,found
15921434,MODERN BUTLER LTD,trading,6,,,no_match
NI035510,MONEYNEENA & DISTRICT DEVELOPMENT INITIATIVE LTD,all,6,,,no_dns
11711149,MONTASH DEVELOPMENTS LIMITED,all,6,,,no_dns
04584851,MYLOR CHANDLERY LTD,all,6,mylorchandlery.co.uk,company_number,found
10189225,NAR VALLEY (BLOCK K) MANAGEMENT COMPANY LTD,all,6,,,no_match
SC819438,NICOSSE CONSULTING LTD,trading,6,,,no_dns
13943934,NORTHERN RENEWABLE CENTRE LIMITED,trading,6,northernrenewablecentre.co.uk,company_number,found
11649939,NOVA HOUSING SERVICES LTD,trading,6,,,no_match
09050822,OGGI SCAFFOLDING LIMITED,trading,6,,,no_dns
14913696,OLIBELLE GROUP LIMITED,all,3,,,no_http
07310566,OLLANDS INVESTMENTS LIMITED,trading,6,,,no_dns
11135449,OM RETAIL UK LIMITED,all,6,,,no_match
15933835,ONE LOVE SOCIAL CLUB C.I.C.,all,6,,,no_match
11116615,PAPA CHARLIE PROPERTIES LIMITED,all,6,,,no_match
15681226,PBW ROOFING LIMITED,trading,6,,,no_dns
FC028766,PERSIMMON FINANCE (JERSEY) LIMITED,trading,6,,,no_dns
